Job Title,Required Skills,Role Category,Industry,Role
 ODI Developer/lead ODI Developer - RACI," ODI, Matrix",Programming & Design,"IT-Software, Software Services",Software Developer
 UI Developer," javascript, sql, php, php mysql, css, software development, technical, photoshop, mca, ajax, jquery, application, web, design, mysql, html",Programming & Design,"IT-Software, Software Services",Software Developer
 Assistant Manager ," Relationship management, Relationship building, Client relationship, Training, Analytical skills, Process mapping, Standard operating procedures, Agile, Management, Visa processing",Voice,"Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
 Android Developer," android, btech, iphone, server, analytical, developing, ios, platforms, objective c, web, xml, design, json, programming, development, c, testing, mobile, xcode, application development, eclipse, application, sdk, applications",Programming & Design,"IT-Software, Software Services",Software Developer
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad," cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 iOS Developer," bca, graphics, application development, b tech, core, b sc, application, b e, ios, publishing, animation",Programming & Design,"IT-Software, Software Services",Software Developer
 F&A Black belt - Process Excellence Lead," Accounting, Continuous Improvement, Process Improvement, Load Balancing, Lean Six Sigma, Black Belt, Training, Green Belt, Process re - engineering, Process Excellence, Business Excellence, OTC",Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS",Team Leader -(NonTechnical)
 IT - Head (preferably from an NGO)," networking, information technology, network administration, technical support, support services, license management, disaster recovery, data security, it training, it software",,"NGO, Social Services, Regulators, Industry Associations",Other
 Digital Content Producer For largest Media House," Automobile, Digital Content, Content Development, Production, Web Content Writing",Content Development,"Media, Entertainment, Internet",Content Developer
 Manager Holidays," Tourism, target achievement, negotiation skills, revenue management, Tour Packages",Retail Sales,"Aviation, Aerospace, Aeronautical",Sales/Business Development Manager
 Backend Developer," PHP, Networking, Data structures, HTTP, JSON, Software design, Computer science, System design, Backend, Ticketing",Programming & Design,"Internet, Ecommerce",Software Developer
 JUNIOR BIG DATA ANALYST IN,vide,Operations,"Recruitment, Staffing",Business/EDP Analyst
 Chief Engineer," Chief Engineer, Hospitality, HVAC, Maintenance, Water Treatment, Energy Conservation, Capital Expenditure",,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director
,"Marketing,Executive,Marketing,Marketing,Executive,Direct,Executives,Marketing,Executive,Executive,Executive,Executive,Marketing,Executive,Marketing,Executive,direct,marketing,executive,Marketing,Executive,Marketing,Executive,Executive,Marketing,Executive,direct,Executive,Direct,Marketing,Executive,Executive,Direct,Marketing,Marketing,Executive",,,
 Oracle DBA Consultant - Data Guard/rac Modules," WebLogic, configuration, MySQL, installation, Oracle DBA, troubleshooting, Oracle RAC",Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",DBA
 Global HR Operations Analyst," Service level, Data management, HR Coordinator, Management audit, HR operations, Human resource management",HR/ Recruitment / IR,"Industrial Products, Heavy Machinery",HR Executive
,"Manager,Transformation,Manager,Transformation,Manager,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Transformation,Manager,Manager,Transformation,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation",,,
 Compiler- Support Engineer," Graphics, C++, Windows OS, Linux, high performance computing, Test cases, System software, Gaming, FreeBSD",Programming & Design,"Telcom, ISP",Software Developer
 Key Accounts Manager,vide,Advertising,"Telcom, ISP",Client Servicing/Key Account Manager
 Head Sales- Coworking Company," Sales, Team Building, Strategic Leadership, Real Estate, Field Sales, Sales Strategy, Enterprise Business, Go - to - market Strategy, Enterprise sales, Sales Executive Activities, Marketing",Senior Management,"Real Estate, Property",Head/VP/GM/National Manager -Sales
" Clubhouse Manager, Facility Manager,"," Facility Management, facility services",Health & Fitness,Facility Management,Centre Head / Branch Head / Club Manager
 IP DRG / Surgery / ED / Denials Coders," sds, radiology, CPT, icd - 10, EM, medical coding, coders, surgery, ed",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Manager - Education Sales," Market analysis, Public relations, CV, Relationship building, Market intelligence, Prospecting, Budgeting, Sales process, Branding",Retail Sales,"Recruitment, Staffing",Sales/Business Development Manager
 HR Associate," ERP, MIS, Succession Planning, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",HR/ Recruitment / IR,"IT-Software, Software Services",HR Executive
 Manager / Sr Manager - Digital Ad Sales - Ecommerce," revenue generation, marketing, ad sales, web technologies",Corporate Sales,"Internet, Ecommerce",Sales/Business Development Manager
 Architect Junior/ Middle level," co ordination, team management, drafting, loans, online, coordination, quality",Architectural Services,"BPO, Call Centre, ITeS",Project Architect
 php developer," English, PHP, XML, DOM, SOAP, Com, Web technologies, Written communication, Email, Time",Programming & Design,"Recruitment, Staffing",Software Developer
 Openstack Engineer / Openstack Admin with Ceph Storage," cloud, puppet, python, git, KVM, linux, jenkins, openstack, ansible",Programming & Design,"IT-Software, Software Services",System Analyst
 Sr. Software Engineer," National, Branch, Vice President, J2Ee, Software",Programming & Design,"Strategy, Management Consulting Firms",Software Developer
 Software Engineering- Mentor," Mentor, Android, Consulting, Usage, development, software, mobile, it, SIDE, Front end, Web technologies, Coding, web, backend, Open source, programming, Investment",Programming & Design,"IT-Software, Software Services",Software Developer
 Application Tester," Performance Testing, Software Testing, Manual Testing, Quality Testing",Programming & Design,"IT-Software, Software Services",Testing Engineer
 Credit Control - Manager / Asst. Manager," Pivot Table, Credit Analysis, Tally ERP, Accounting, VLOOKUP, Finance, Lookup, Advanced Excel, HLOOKUP, Credit Control",,"Travel , Hotels , Restaurants , Airlines , Railways",Other
 Night Shift - Non Voice / Web Chat - BPO," international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Executive," Innovative, Aggressive",Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Design Engineer Mechanical," Communication Skills, Detail Engineering, Material Handling, AutoCAD, Detailing, Design Engineering, Microstation, Bid Evaluation",Engineering Design,"Oil and Gas, Energy, Power, Infrastructure",Design Engineer
 Android developer," design, android, erp, software, mvc, quality",Programming & Design,"IT-Software, Software Services",Software Developer
 Technical Writer," Technical Writing, Technical Documentation, Articles, Writing Skills, Product Support",QA/Testing/Documentation,"IT-Software, Software Services",Technical Writer
" Pro-Engineer , Matlab ,Ansys"," Ansys, thermal, MATLAB, System design, Recruitment, MCCB, Electricals",Engineering Design,"Recruitment, Staffing",Design Engineer
 Business Development Executive - Kolkata," Product placement, Market research, Distributor handling, Business Development Executive, Customer service, Customer Service Executive, Secondary sales, Supervision",Retail Sales,"Textiles, Garments, Accessories",Sales/Business Development Manager
 Accountant - UK Based Accounting," Management accounting, Accounting, VAT, Book Keeping, SAGE, Tax returns",Accounts,"Recruitment, Staffing",Accounts Executive/Accountant
 Opportunity For Current Account RM ||bank || Delhi," Trade, Forex Trading, Forex, fx, Lead Generation, Accounting, Banking, Revenue Generation, Current Account",Retail Sales,"Banking, Financial Services, Broking",Sales/Business Development Manager
 PHP Developer," XML, Javascript, PHP, development, css, technical, analytical, software, testing, HTML, tools, Joomla, coding, jQuery, web, MySQL, Wordpress, design, XHTML, debugging, Ajax",Programming & Design,"IT-Software, Software Services",Software Developer
 Senior Engineering Maintenance Manager For Knitting and ZLD System," zld, Engineering Management, knitting",Production/Manufacturing/Maintenance,"Textiles, Garments, Accessories",Engineering Manager
 Accounting Specialist," Analyst, ERP, Change management, Business objects, Managed services, Business process mapping, Executive management, Data mining, oracle project accounting, Testing",Accounts,"IT-Software, Software Services",Accounts Executive/Accountant
 Manager (Service Operation)," ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",HR/ Recruitment / IR,"Construction, Engineering, Cement, Metals",Training Manager
 DevOps Engineer Intern," Intern, Linux, Windows, Unix, DNS, C++, Perl, IIS, Redhat, HTTP",Programming & Design,"IT-Software, Software Services",Software Developer
 PHP Developer (wordpress & Woo Commerce/shopify / Magento)," C, Woocommerce, Magento, Wordpress, MySQL, PHP, Shopify, JQuery, Web Development, Ajax",Programming & Design,"IT-Software, Software Services",Software Developer
 Java Developer," CSS, Singleton, XML, Javascript, JDBC, Struts, JSON, HTML, Spring Boot, JQuery",Programming & Design,"IT-Software, Software Services",Software Developer
 Sr. Manager- Business Development," Business Development Management, Bd, Marketing, business development, Projects, business development manager, bdm, Tendering, Proposal",Corporate Sales,"Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 Test Principal Engineer," Ethical Hacking, Certified Ethical Hacker, Networking Protocols, Penetration Testing, Nessus, NMAP, Fortify, Vulnerability Assessment, Appscan, Qualys",Programming & Design,"IT-Software, Software Services",Testing Engineer
 Graphic Designer," Graphic designing, Graphics, adobe creative suite, Architecture, MS Office, Business Executive",Creative,"Architecture, Interior Design",Graphic Designer
 Business Development Executive," Payment collection, Costing, Business Development Executive, Lead generation, Sales, Vendor, Cost",Corporate Sales,"Recruitment, Staffing",Sales Executive/Officer
 Animation Resident," Internship, Digital marketing, Social media, Relationship building, Animation, Creative, Indesign, Business Executive, Presentation skills, Senior",Advertising,"Advertising, PR, MR, Event Management",Client Servicing Executive
Enterprise Business Development Representative,"market penetration,marketing,customer satisfaction,enterprise business,web technologies,business development,strategy,aws,sales",Channel Sales,IT-Software / Software Services,Sales Executive / Officer
 Dot Net Developer," jquery, git, microsoft sql server, net asp net, software, testing, ado.net, microsoft, tools, sql, unit tests, database, application, web, design, .net, object oriented programming, support, programming",Programming & Design,"IT-Software, Software Services",Software Developer
" Urgent Opening for ""US Staffing Professionals"" - Noida"," technical recruitment, us staffing, us recruitment, us recruiter, us it staffing, technical recruiter, it recruiter, recruiter, w2, c2c, talent acquisition, recruitment, staffing, sourcing",HR/ Recruitment / IR,"Recruitment, Staffing",Recruitment Executive
 Front Office Executive-Noida, Front Office Executive,,"Recruitment, Staffing",Receptionist
 Project Executive/coordinator," Project Administration, Coordination",Sales Support,"Industrial Products, Heavy Machinery",Sales Coordinator
 Sterling OMS Architect," Order Management system, Sterling Commerce, Sterling, OMS, Sterling Integrator, ecommerce, E - commerce",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Solution Architect / Enterprise Architect
 Dot net Developer," analytical, documentation, web development, algorithms, development, javascript, sql server, jquery, database, web, flex, design, mysql, net",Programming & Design,"IT-Software, Software Services",Software Developer
 Centreless Grinding Operator , NCTVT,Production/Manufacturing/Maintenance,"Internet, Ecommerce",Workman/Foreman/Technician
 PHP Developer Jobs In Gurgaon - Team Lead - PHP," Drupal, Application programming, MySQL, Wordpress, PHP, CakePHP, Team Leader, MVC, Zend, Software services",Programming & Design,"Recruitment, Staffing",Software Developer
 Sales Lead," Outbound, Sales, Project management, Analytical, Sales Lead, Automation tools, Sales process, marketing automation",Retail Sales,"Internet, Ecommerce",Sales Executive/Officer
 Clerk - Garh Shankar (Vacancy-1),vide,,"Government, Defence",
 Senior Design Engineer - Manufacturing," AutoCAD, 3D Modeling, FMEA, Mechanical Engineering, Mechanical Design, SolidWorks",Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery",Design Engineer/Manager
 Software Engineer Automation - Industrial Automation Job In Bangalore, Automation Engineer,Engineering Design,"Industrial Products, Heavy Machinery",Technical Lead/Project Lead
 Looking For Assistant Manager - Healthcare (US Visa is Must)," Revenue Cycle Management, US Healthcare, Payment Posting, Medical Billing, Medical Coding, us visa, Team Leading Skills, Healthcare, Denial Management, RCM",Back Office/Web/Transaction Processing,"Medical, Healthcare, Hospitals",Team Leader -(NonTechnical)
 Senior Accounts Executive,vide,Accounts,"Recruitment, Staffing",Accounts Executive/Accountant
 QA for Voice Process (LE-0097-N1C)," Voice process, qaqc, Writing, Process operations, Verbal",Quality,"Internet, Ecommerce",Quality Assurance/Quality Control Executive
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon"," Patient Care, Nursing, People Orientation, Report Generation, Service Quality, Disaster Management, Customer Care, Medical, Process Orientation",,"Medical, Healthcare, Hospitals",Other
,vide,,,
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain," Predictive Modeling, SAS, Data Management, Data Mining, Tableau, Data Analytics, Statistics, Analytics, SQL, Python",Analytics & BI,"IT-Software, Software Services",Analytics Manager
 Executive Medical Coder," molecular biology, chemistry, biotechnology, bhms, biology, Physiotherapy, microbiology, nursing, biomedical, Physics, medical coding, biochemistry, pharmacy, Ophthalmology, micro biology, Bioinformatics, zoology, biotech",Other,"Medical, Healthcare, Hospitals",Trainee
 Account Assistant," accounts executive, accountant, Stock Management, gst, auditing, Statutory Compliance, accounting, Account Assistant, Bank Reconciliation, tax audit, banking, monthly reports, Payroll, salary processing, income tax, Income Tax Return, taxation",Accounts,"Architecture, Interior Design",Accounts Executive/Accountant
 Informatica Faculty Job Requirement in Hyderabad," Informatica Power Center, Informatica",Programming & Design,"IT-Software, Software Services",Software Developer
 SEO Expert/ Digital Marketing Gurgaon," digital marketing, seo specialist, advertising agency, online marketing, seo, seo expert, facebook marketing",Online/Digital Marketing,"Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist
 Head Engineering," Validation, Installation, Breakdown Maintenance, Industrial Safety, gmp, Boiler, Design, HVAC, Gensets, Air Compressor, Breakdown, RO, who",Production/Manufacturing/Maintenance,"Pharma, Biotech, Clinical Research",Engineering Manager
 Business Development Executive, Forecasting,Finance/Audit,"Oil and Gas, Energy, Power, Infrastructure",Financial Analyst
 PPC Executive," Pay Per Click, Google AdWords, Search Engine Marketing, PPC, SEM, Google Analytics, Website Analysis, Yahoo, Web Analytics, Marketing Initiatives",Online/Digital Marketing,"IT-Software, Software Services",PPC /Pay Per Click Specialist
 Opening For the post of Mr/territory Business Manager in An Pharma," marketing officer, pharma sales, Marketing Representative, marketing executive, pharma marketing, sales officer, sales representative, business development executive, Fresher, trainee, sales executive",Retail Sales,"Pharma, Biotech, Clinical Research",Medical Representative
 Deputy Manager - Program Management," Project management, PPAP, Automotive, External audit, Conflict resolution, Resource mobilization, PFMEA, Risk management, Project life cycle",Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance
 Public Relations Manager - Bangalore," PR, Public Relations, Media Relations, Social Media, Marketing Communication, corporate communication, media relation, corp comm, Online Media, public relation, Journalism, Advertising, mass communication",Public Relations,"Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager
 Female Fresher's Counsellor- Gurgaon," counselling, couselling, fresher, student counsellor, student counseling",Other,"Education, Teaching, Training",Fresher
 BE Chemical - Fresher," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",Other,"Recruitment, Staffing",Fresher
 Senior .Net Developer For Leading IT Company in Gurgaon," asp dot net, .net developer, Dot Net Developer, asp.net, asp . net",Programming & Design,"IT-Software, Software Services",Software Developer
 Hiring a Valuation Associate (female Only)," Secondary Research, Valuation, Finance, Real Estate, Primary, Report Preparation, Business Development, Due Diligence, Financial Modelling",Other,"Real Estate, Property",Other
 Merchandising & Marketing- Professor," Teaching, Educator, Counselor, Mentor, Trainer, Advisor",University Level,"Education, Teaching, Training",Lecturer/Professor
 Medical Transcriber," X - Ray, Medical Transcription, Ultrasound, CT Scan",Drug Regulatory Affairs/Documentation,"Medical, Healthcare, Hospitals",Documentation/Medical Writing
 PHP Developer," cms, javascript, wordpress, drupal, joomla, ajax, cakephp, zend, knowledge, xhtml",Programming & Design,"IT-Software, Software Services",Software Developer
 Business Development Manager," Sales, Management, Sales management, Educational sales",Retail Sales,"Education, Teaching, Training",Sales/Business Development Manager
 Looking for a Job Change With a good package," Outbound, Antivirus, Technical support, Technical Support Associate, process, Sales, Inbound calls, US shift, Comp",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Huge Requirement for Customer Care Executive with Fixed Salary," Technical support, English, Comp, Customer Care Executive, Inbound calls, Antivirus, Issue, Software",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
Assistant Manager – BI&I (data Automation),"C#,Application Development,Senior Level,MS SQL,Visual Basic,Power Bi,MSBI,SSIS,Recruitment,Data Integration",Admin/Maintenance/Security/Datawarehousing,Banking / Financial Services / Broking,IT/Networking-Manager
 Field Sales Executive," Escalation management, Field Sales Executive, Sales achievement, Training, Insurance sales",Retail Sales,"Real Estate, Property",Sales Executive/Officer
 Sr. Manager Sales Capability Building," Team management, Salesforce, Usage, Sales, Skill development, Training, Productivity improvement, Training management, Sales budgeting, TSI",Sales Support,"FMCG, Foods, Beverage",Sales Trainer
 Service Ops Expert - Servc Del | Microland," Networking, Unix, Change management, Scheduling, Publishing, Incident management, VMware, Problem management, Remedy, SIP",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females)," planning, training, training manager, trainer, faculty",Teachers,"Wellness , Fitness , Sports, Beauty",Trainer
 Sales Manager," Sales, Billing, MS Office, Business reporting, Insurance sales, MIS preparation, Usage, Corporate, Networking, Retail",Retail Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Field Support Team-Supervisor," customer support, support service, field support, team, management, supervisor, self motivated, continuous improvement, give, enthusiastic",Admin/Maintenance/Security/Datawarehousing,Other,Technical Support Engineer
 Sr. C# Developer," Javascript, SQL, XML, server, css, technical, software, developing, HTML, tracking, database, web, Application development, net, programming, Ajax, development, DOM, solid, data integrity, Stored procedures, Reporting tools, application, applications",Programming & Design,"IT-Software, Software Services",Software Developer
 Sr Structural Engineer," Senior Design Engineer, Engineering Design, SACS",Engineering Design,"Strategy, Management Consulting Firms",Senior Design Engineer
 IT Security Head ," C, Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle, assembly language, Real Time Operating Systems",Senior Management,"IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO
 Technical Support Executive," Technical Support Executive, Electrical engineering",Voice,"Internet, Ecommerce",Associate/Senior Associate -(Technical)
 Analyst - Business Intelligence," Data analysis, Automation, Google Analytics, Excel, Analytical, Business intelligence, Analytics, Product marketing, SQL, Data extraction",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Business Analyst
Nokia WING Circuit Core - SMSC Engineer,"Detail Design,Juniper,SMSC Engineer,Routing,IP Networking,Network Elements,Network Troubleshooting,High Level Design,Data Center,Switching",Programming & Design,Telecom / ISP,Software Developer
 Assistant Restaurant Manager / Restaurant Manager," assistant restaurant manager, restaurant, restaurant manager",Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager
 Digital / Web Artist," layout, visualization, digital media, graphic design, html, illustration, tools, part time",Creative,"Advertising, PR, MR, Event Management",Graphic Designer
 Business Development Manager," selling, accounts, events, prospecting, business operations, ideas, coordinating, tracking, closing, maintaining",Senior Management,"IT-Software, Software Services",Head/VP/GM/National Manager -Sales
 Web/ GUI Designer," photoshop, illustrator, seo, jquery, fireworks, css3, gui, usability, development, static",Creative,"IT-Software, Software Services",Web Designer
" Web Designer - Html, CSS, Bootstrap, Photoshop"," Photoshop, HTML, Wordpress, CSS3, bootstrap, Web technologies, html5, CSS",Programming & Design,"Recruitment, Staffing",Graphic/Web Designer
 Python Developer, Python,Programming & Design,"Recruitment, Staffing",Software Developer
 Web Designer," server, multimedia, troubleshooting, graphics, audio, monitoring, javascript, jquery, user interface, css3",Programming & Design,"IT-Software, Software Services",Graphic/Web Designer
 AVP- FX MO," Senior management, MIS reporting, Building, Training, Management, Risk, Vice President, Focus, Trade, Associate Vice President",Senior Management,"Recruitment, Staffing",Head/VP/GM-Operations
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura," Sales Head, Tied Channel, Sales, Business Growth, Profitability, Business Operations, New Business, Alliances",Senior Management,Insurance,Head/VP/GM/National Manager -Sales
 Head - Project Management, Project Management,Senior Management,"Real Estate, Property",Head/VP/GM-Operations
